maxRatio,minTrainLoss,minEvalLoss,modelIndex,slug,freqs,freqs_neurons,non_freqs
1444988.0871439234,1.7457033909157246e-7,0.0000017257025298491944,0,2023_07_20_20_26_57_329246,0 16 22 14,5 5 5 6,3
1436983.7611745463,1.9330054767093783e-7,0.0000011082997104559867,1,2023_07_20_20_26_57_708712,4 8 5,7 8 7,2
1338482.3440993424,1.7332853505228153e-7,8.591873385101893e-7,2,2023_07_20_20_26_57_747509,8 11 7,9 6 8,1
1610272.7816384432,1.7326008083534596e-7,0.0000025664270246263977,3,2023_07_20_20_26_57_772331,11 17 21 6,6 5 5 5,3
1498320.5813797163,1.844127535531992e-7,0.000004962798903879289,4,2023_07_20_20_26_58_436314,10 7 23 5,5 5 5 5,4
1499940.3463810305,1.9172485093759423e-7,0.0000022165626715761957,5,2023_07_20_20_27_05_081189,12 21 0,10 6 5,3
1558093.0837270096,2.1066415244775396e-7,0.000008825792251355776,6,2023_07_20_20_27_05_679756,3 6 32,6 5 6,7
1330720.2380912907,1.744481876123521e-7,0.000001943350209913253,7,2023_07_20_20_27_05_992950,24 22 19 14,5 5 6 5,3
1468202.8053840476,1.8513307693751187e-7,0.000004114880169220586,8,2023_07_20_20_27_06_005686,24 18 19,6 9 6,3
1438264.8445226715,1.688572408148318e-7,0.000002313070789760576,9,2023_07_20_20_27_06_460664,16 23 21 31,6 5 5 7,1
1417667.8758559725,2.0706261924097013e-7,0.00011816611088211894,10,2023_07_20_20_27_06_738565,5 32 1,5 5 5,9
1205884.0791056652,1.7958923756715309e-7,0.0000013691239437081071,11,2023_07_20_20_27_06_862516,5 4 13,7 6 11,0
1570977.59559606,1.772812358626051e-7,9.970563038019589e-7,12,2023_07_20_20_27_08_933849,19 23 28,10 9 5,0
1351310.0482671917,1.7474128694839216e-7,8.730606961772261e-7,13,2023_07_20_20_27_09_533361,13 7 12,8 8 7,1
1519216.686234148,2.45420913622805e-7,0.00009016856195155034,14,2023_07_20_20_27_09_578030,19 1 23 27,7 5 5 1,6
1474186.7667585388,1.9044367572468734e-7,8.233860670958125e-7,15,2023_07_20_20_27_09_750376,1 21 10,9 7 6,2
1476995.6104901296,1.729382041592231e-7,9.217280049847643e-7,16,2023_07_20_20_27_10_103077,30 3 23 1,6 5 6 5,2
1365779.9134882567,1.9491149192177222e-7,0.0000010210087413353997,17,2023_07_20_20_27_10_202313,4 2 26,9 7 8,0
1509992.6728024024,1.6735641678149976e-7,0.000001816690391885872,18,2023_07_20_20_27_10_423515,9 25 18 0,3 6 5 6,4
1345252.1559483183,1.8741830256972807e-7,0.0000027435641555210616,19,2023_07_20_20_27_12_011924,11 28 12 2,9 4 5 5,1
1401005.4390411952,1.6706761097238875e-7,0.0000014242950700799374,20,2023_07_20_20_27_12_417345,10 7 16 11,6 6 5 6,1
1473042.4852037427,1.8881832017382894e-7,0.000006491043781473185,21,2023_07_20_20_27_13_237420,0 5 12 27,8 6 5 5,0
1479645.2798759982,1.9758695194999143e-7,0.00001980386167162098,22,2023_07_20_20_27_14_348148,32 31 29 14,5 5 5 5,4
1503039.0870808,1.672606016373466e-7,0.0000019867528517310444,23,2023_07_20_20_27_14_398182,7 2 14 26,7 7 5 4,1
1319104.6973110056,1.8127503502947263e-7,0.0000010111507622930207,24,2023_07_20_20_27_14_913426,25 1 6,8 10 5,1
1495141.3657592672,1.7939940428808405e-7,0.000004052406405961614,25,2023_07_20_20_27_15_013160,32 28 27 7,5 5 5 5,4
1338623.2500659155,1.8921138843326677e-7,0.0000012221834852883197,26,2023_07_20_20_27_16_667660,28 25 4,8 9 7,0
1354953.0568240825,1.8279634505708854e-7,8.855413332136362e-7,27,2023_07_20_20_27_17_220460,9 11 28,10 7 7,0
1539462.2069197847,1.752169469667592e-7,0.000004230570044231688,28,2023_07_20_20_27_18_419638,20 14 12 15,6 5 6 6,1
1489597.2689342548,1.764228109462736e-7,0.000002262023422451406,29,2023_07_20_20_27_20_426258,29 27 30 23,5 6 5 5,3
1312194.9238282524,1.7521806418139406e-7,0.000001363341444145183,30,2023_07_20_20_27_20_613981,11 13 20,8 8 8,0
1564121.4120545608,2.0184190113855206e-7,0.0000013087692200013436,31,2023_07_20_20_27_20_618837,0 13 15,5 7 8,4
1591052.9626958868,1.664232788760921e-7,0.0000021273707574654483,32,2023_07_20_20_27_21_442434,3 5 31 16,5 5 4 5,5
1506152.5265751095,1.9712693296217202e-7,0.000019536291591026207,33,2023_07_20_20_27_21_620286,13 22 19 5,7 5 5 1,6
1531248.3082741054,2.0924559821484106e-7,0.0000017077567926322738,34,2023_07_20_20_27_21_664982,28 8 13,6 8 9,1
1517912.6896445346,1.758772018536329e-7,8.415809959770376e-7,35,2023_07_20_20_27_21_666082,12 30 6,7 9 7,1
1428979.9616703587,2.0059367243565502e-7,0.000041113035857561804,36,2023_07_20_20_27_22_204269,32 16 6 3,5 4 5 6,4
1525104.7377646675,1.755897008164295e-7,0.000014879209369408705,37,2023_07_20_20_27_22_958080,5 12 1 17,5 5 6 5,3
1394968.7920880376,1.79144841862549e-7,8.677526490657788e-7,38,2023_07_20_20_27_23_341105,30 0 19,7 7 8,2
1428595.7368483439,1.7902838604458514e-7,7.188776006696244e-7,39,2023_07_20_20_27_23_407051,29 5 13,8 9 7,0
1085308.8886476383,1.8674088858479092e-7,0.000011692531207397256,40,2023_07_20_20_27_23_415621,12 30 31 9,4 5 5 5,5
1449939.000875264,1.75923866995215e-7,0.000002052130167887879,41,2023_07_20_20_27_24_230220,7 1 25 4,5 7 5 7,0
1327452.6257426313,2.1529394685104313e-7,0.0006794499936455434,42,2023_07_20_20_27_25_179279,0 5 26 28,5 5 4 5,5
1383542.4803298018,2.1124866227717724e-7,0.0000012047326992004855,43,2023_07_20_20_27_26_655009,22 4 10,9 7 8,0
1378817.4580395606,1.6199981289106085e-7,8.42834968071322e-7,44,2023_07_20_20_27_26_727281,22 32 6 0,6 5 7 5,1
1535493.490071822,1.7138047815239076e-7,6.346967038941014e-7,45,2023_07_20_20_27_27_394658,6 3 22,7 9 8,0
1419441.4322314996,1.860761626583179e-7,0.0000012111888298244536,46,2023_07_20_20_27_27_527883,7 31 5 11,5 8 5 5,1
1526868.5601441339,1.8317313265540352e-7,0.0000013807589057882381,47,2023_07_20_20_27_28_178191,18 19 2,9 7 8,0
