train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
1750,128,0.01,8,001452676242578943,3987820.5,1.1920928955078125e-7,0.10537341237068176
1000,64,0.03,0,0024104936318629644,44903162.647125885,1.1920930376163597e-7,0.020752515643835068
1750,128,0.01,0,002471152686186362,2611956.5,1.1920928955078125e-7,0.05523134768009186
1250,16,0.01,6,002706997313899784,12092.670701352254,1.1920930376163597e-7,2.0506442410805903e-7
750,128,0.01,2,004597784790197679,51126873.90520169,1.1920930376163597e-7,0.7149819135665894
1000,258,0.1,7,004853771412477004,37973363.473222315,1.1920930376163597e-7,1.1920930376163597e-7
1500,16,0.01,1,006037549888045057,1188.0763964561943,1.1920930376163597e-7,1.8717075533913885e-7
750,32,0.3,0,006410628262934259,40975007.11539851,1.1920930376163597e-7,0.7092171907424927
750,64,0.03,4,006692577132041744,44839698.65469138,1.1920930376163597e-7,0.17865800857543945
1250,64,0.3,3,0074292206322613685,15183283.190011598,1.1920930376163597e-7,1.8900635723184678e-7
1000,258,0.1,8,007515184698933752,21529869.43343956,1.1920930376163597e-7,1.1920930376163597e-7
1750,128,1,2,008578400526498386,483095.5854002561,1.1941365585244057e-7,6.733695840921428e-7
1000,64,0.1,6,008814941230073092,41561407.04549419,1.1920930376163597e-7,1.1924507248295413e-7
750,128,0.3,7,009637890498820578,50991941.92128683,1.1920930376163597e-7,3.309846761112567e-7
1500,64,0.3,5,010020334530169372,5220209.923838019,1.1920930376163597e-7,1.3796092446227703e-7
1000,258,1,8,010421332026333774,11553068.166683258,1.1920930376163597e-7,0.004367138724774122
750,258,0.01,5,011030836532288868,50988213.92173124,1.1920930376163597e-7,0.7133287787437439
1500,258,0.01,5,01244642682632724,10951212.694513716,1.1920930376163597e-7,0.5572251677513123
1000,128,0.03,8,012766212459309423,31978142.18790839,1.1920930376163597e-7,0.00033127458300441504
750,258,1,4,013668573727946942,28838170.50866235,1.1920930376163597e-7,0.4670395255088806
1000,128,0.3,1,014249136885545188,36550071.64289193,1.1920930376163597e-7,1.6161204996478773e-7
1750,64,1,5,014677109643390529,5.450071943158342,0.0037605653051286936,0.006721314042806625
750,128,0.3,0,015620972782856124,44303042.71866576,1.1920930376163597e-7,4.998925078325556e-7
1500,258,1,3,015945467802962243,4301725.25962036,1.1920930376163597e-7,0.00003272052708780393
1500,32,0.3,1,016727061579750457,21759.236665377808,1.1920930376163597e-7,1.8285516034666216e-7
1500,258,0.3,5,016805273697937162,4085281.5129964934,1.1920930376163597e-7,1.223564396468646e-7
1000,258,0.01,4,017569756808161974,34450711.89315511,1.1920930376163597e-7,0.7176411151885986
1000,258,1,6,017591753757612905,21956057.170051046,1.1920930376163597e-7,0.0075918883085250854
1000,64,0.3,0,01760352634654827,35591719.757136375,1.1920930376163597e-7,1.8041136229385302e-7
1000,258,0.01,1,01815845345254663,42024114.99033511,1.1920930376163597e-7,0.7179178595542908
1000,32,0.03,0,01923116123337243,23897025.15125261,1.1920930376163597e-7,0.000012553979104268365
1500,128,0.3,5,0202513421905528,8917798.936915524,1.1920930376163597e-7,1.2621882206076407e-7
750,258,0.1,2,02096673733444676,45731662.548360996,1.1920930376163597e-7,1.3017655930980254e-7
1250,16,0.01,0,0210398653256596,109065.63543586309,1.1920930376163597e-7,0.00017170357750728726
1250,64,0.1,1,021041408790238747,27246608.75195113,1.1920930376163597e-7,1.1920930376163597e-7
1500,64,0.3,0,022592228830703442,8362283.849683356,1.1920930376163597e-7,1.241803317952872e-7
750,128,0.1,3,022926723811231176,49815586.06151938,1.1920930376163597e-7,1.606702966228113e-7
1500,258,0.01,4,025573044981001214,7740992.577201774,1.1920930376163597e-7,0.32968422770500183
1750,258,0.01,7,026257322564699703,2502402,1.1920928955078125e-7,0.06630407273769379
1250,16,0.01,8,02641473607829048,143773.8252144993,1.1920930376163597e-7,0.00005827676068292931
1500,32,0.1,4,028596576870083656,4167.493961203244,1.1920930376163597e-7,1.1920930376163597e-7
1500,64,0.01,6,028914618842895146,10990945.689777173,1.1920930376163597e-7,0.43850067257881165
750,128,0.1,0,02896662292400476,50500237.979902506,1.1920930376163597e-7,2.3661860382162558e-7
1250,128,0.3,6,034844040453268166,23122073.243634075,1.1920930376163597e-7,1.2869837462403666e-7
1750,64,0.01,6,035766999404082234,5353068,1.1920928955078125e-7,0.1450590044260025
